 id  | type | auxiliary | frequency |                                                            name                                                            
-----+------+-----------+-----------+----------------------------------------------------------------------------------------------------------------------------
   1 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Manual
 135 |    2 | t         |         0 | tag:clarkparsia.com,2007:owlgres:artificial-role:anon-7
   3 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj10Course
   2 |    1 | f         |         3 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj19Department
 137 |    2 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#hasExamRecord
 175 |    3 | f         |       448 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#researchInterest
   4 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Exam
   5 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Book
   7 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj5Student
   6 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj17Course
  10 |    1 | f         |       419 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#TeachingAssistant
   9 |    1 | f         |       103 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj16Course
   8 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Dean
  12 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj15Professor
  11 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#BachelorExam
  13 |    1 | f         |       128 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#FullProfessor
 174 |    3 | f         |      8397 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#telephone
 149 |    2 | f         |       509 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#doctoralDegreeFrom
 148 |    2 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#orgPublication
 153 |    2 | f         |       225 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#subOrganizationOf
  14 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#ConferencePaper
  15 |    1 | f         |       796 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Course
  16 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj13Department
  17 |    1 | f         |        58 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj9Professor
 176 |    3 | f         |      8397 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#emailAddress
  18 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj7Course
 177 |    3 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#title
  19 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Director
  20 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj20Student
  21 |    1 | f         |         0 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#Subj8Department
 130 |    2 | f         |       419 | http://swat.cse.lehigh.edu/onto/univ-bench.owl#teachingAssistantOf
 129 |    2 | t         |         0 | tag:clarkparsia.com,2007:owlgres:artificial-role:anon-8
